time,voltage,current
53.10,3.7697,0.9894
53.20,3.7670,1.0100
53.30,3.7680,0.9980
53.40,3.7691,0.9926
53.50,3.7666,1.0040
53.60,3.7671,1.0062
53.70,3.7690,0.9904
53.80,3.7675,1.0034
53.90,3.7646,1.0138
54.00,3.7688,0.9878
54.10,3.7689,0.9913
54.20,3.7650,1.0119
54.30,3.7673,0.9938
54.40,3.7678,0.9935
54.50,3.7650,1.0053
54.60,3.7649,1.0132
54.70,3.7675,0.9891
54.80,3.7681,0.9884
54.90,3.7636,1.0119
55.00,3.7652,1.0024
55.10,3.7675,0.9951
55.20,3.7643,1.0053
55.30,3.7661,0.9967
55.40,3.7665,0.9935
55.50,3.7647,1.0024
55.60,3.7635,1.0077
55.70,3.7653,0.9986
55.80,3.7677,0.9881
55.90,3.7633,1.0094
56.00,3.7647,1.0018
56.10,3.7673,0.9932
56.20,3.7642,1.0059
56.30,3.7641,1.0030
56.40,3.7667,0.9888
56.50,3.7638,1.0034
56.60,3.7619,1.0088
56.70,3.7649,0.9968
56.80,3.7662,0.9929
56.90,3.7622,1.0097
57.00,3.7639,0.9964
57.10,3.7656,0.9881
57.20,3.7617,1.0145
57.30,3.7633,1.0046
57.40,3.7657,0.9904
57.50,3.7649,0.9916
57.60,3.7609,1.0135
57.70,3.7622,1.0037
57.80,3.7655,0.9831
57.90,3.7616,1.0059
58.00,3.7616,1.0065
58.10,3.7629,1.0027
58.20,3.7631,0.9989
58.30,3.7639,0.9945
58.40,3.7637,0.9926
58.50,3.7615,1.0030
58.60,3.7603,1.0145
58.70,3.7634,0.9983
58.80,3.7644,0.9919
58.90,3.7621,0.9972
59.00,3.7606,1.0056
59.10,3.7617,0.9980
59.20,3.7629,0.9894
59.30,3.7598,1.0075
59.40,3.7608,1.0024
59.50,3.7604,1.0018
59.60,3.7611,0.9989
59.70,3.7626,0.9913
59.80,3.7602,1.0072
59.90,3.7576,1.0129
60.00,3.7620,0.9908
60.10,3.7625,0.9904
60.20,3.7602,1.0075
60.30,3.7584,1.0097
60.40,3.7621,0.9948
60.50,3.7616,0.9948
60.60,3.7601,1.0037
60.70,3.7602,1.0018
60.80,3.7615,0.9938
60.90,3.7592,1.0068
61.00,3.7605,0.9999
61.10,3.7616,0.9936
61.20,3.7605,0.9976
61.30,3.7570,1.0113
61.40,3.7602,0.9916
61.50,3.7606,0.9935
61.60,3.7572,1.0135
61.70,3.7598,1.0008
61.80,3.7612,0.9926
61.90,3.7595,0.9970
62.00,3.7573,1.0088
62.10,3.7601,0.9996
62.20,3.7603,0.9926
62.30,3.7584,0.9983
62.40,3.7574,1.0088
62.50,3.7595,0.9973
62.60,3.7586,1.0018
62.70,3.7601,0.9891
62.80,3.7577,1.0015
62.90,3.7563,1.0107
63.00,3.7581,0.9999
63.10,3.7599,0.9926
63.20,3.7591,0.9968
63.30,3.7553,1.0116
63.40,3.7588,0.9957
63.50,3.7593,0.9875
63.60,3.7560,1.0100
